Product Name,Weight,Expiry Date
 Leg-Chump On-Shank Off,5 13. 28 kg,09 Jul 2026
 Australia Beef Burger Bulk Pack,13. 63 kg,14 May 2025
 Frozen Octopus Tentacles,2 x 5kg,24 / 06 / 2026
 Ocean Trout Fillet Skin,10 x 700g,
 Beef Burger Patties,part cooked 120g,
 Salmon Portion,,
 Snapper FLTS Red Crimson FRZN 5KG RW,c kg,
 Thigh Fillet,10 kg,12 / 06 / 2025
 Chickens,4. 8 kg,05 / 07 / 2025
 SEFSSFFF,c kg,
 Barramundi Whole SGG Frozen RW 8KG,frozen rw 8kg,
 Mussels Half Shell IQF Perna Canaliculus,1. 2kg,06. Apr. 2025
 Boneless Beef,15 / 16kg,25 Jul 2024
 Franks Vienna MAL6,,13. 08. 2024
 Pastrami CTN,x 1 kg,15. 08. 2024
 PR Thin SLCD Dani SAL,1kg,26 / 08 / 2024
 Paprika,below 4 degrees celsius 0. 390 kg,
 Potato,0. 428 kg,27 Aug 24
 Milk,0. 492 kg,03 Aug 24
,,15. 08. 2024
 Pastrami CTN,x 1 kg,15. 08. 2024
 Silverside,,08 / 08 / 2024
 Primo Bulk Mortadella Pan,,19. 08. 2024
 Primo Soccerball Ham,,02. 09. 2024
 Primo R/L Mid Bacon,2. 5kg,12 / 08 / 2024
 H/Pepp SLCD 40MM 2KG,40mm 2kg,09 / 08 / 2024
 Boneless Beef,15. 44 kg,23 Jul 2024
 Boneless Beef YG Blade Yarrie MSA,13. 70kg,25 - Jul - 2024
 PR Cheese Kransky,2. 5kg,30 / 08 / 2024
 Crunch,,04. 10. 2024
